,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
160,161,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,7,inf,715,593,2778.81,593.0
161,162,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,8,inf,736,608,2849.1,608.0
162,163,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,1,inf,480,416,1949.39,416.0
163,164,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,2,inf,501,432,2024.36,432.0
164,165,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,3,inf,527,451,2113.4,451.0
165,166,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,4,inf,551,468,2193.06,468.0
166,167,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,5,inf,576,486,2277.41,486.0
167,168,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,6,inf,599,504,2361.76,504.0
168,169,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,7,inf,620,520,2436.73,520.0
169,170,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,2,8,inf,644,538,2521.08,538.0
170,171,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,1,inf,388,355,1663.54,355.0
171,172,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,2,inf,404,365,1710.4,365.0
172,173,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,3,inf,431,381,1785.38,381.0
173,174,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,4,inf,452,396,1855.67,396.0
174,175,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,5,inf,475,413,1935.33,413.0
175,176,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,6,inf,498,429,2010.3,429.0
176,177,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,7,inf,521,447,2094.65,447.0
177,178,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,8,inf,546,464,2174.32,464.0
178,179,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,9,inf,576,486,2277.41,486.0
179,180,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,3,10,inf,608,511,2394.56,511.0
180,181,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,4,1,inf,333,316,1480.78,316.0
