web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
"1651681946-8712","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Inspecteur spécialisé à la direction générale des finances publiques (Emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-inspecteur-specialise-direction-generale-finances-publiques-emploi-fonctionnel/1/5299.htm","4","625","524","2 ans","2 455,48 €","A","null","null"
"1651681793-7667","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Agent technique et de gestion de La Poste -en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-agent-technique-gestion-poste-extinction/1/6487.htm","6","524","449","2 ans","2 104,03 €","null","null","C"
"1651682434-11429","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Ingénieur d'études du ministère de la culture","https://www.emploi-collectivites.fr/grille-indiciaire-etat-ingenieur-etudes-ministere-culture/1/5206.htm","8","964","781","3 ans","3 659,79 €","A","null","null"
"1651681911-8512","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Chef d'atelier de la monnaie de Paris (MDP) (ex Monnaies et médailles)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-atelier-monnaie-paris-mdp-ex-monnaies-medailles/1/5512.htm","9","457","400","3 ans","1 874,41 €","null","B","null"
"1651682567-12370","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Adjoint technique du Ministère de l'agriculture et de l'alimentation","https://www.emploi-collectivites.fr/grille-indiciaire-etat-adjoint-technique-ministere-agriculture-alimentation/1/5374.htm","4","371","343","1 an","1 607,31 €","null","null","C"
"1651680856-3127","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Cadre éducatif de la protection judiciaire de la jeunesse-PJJ","https://www.emploi-collectivites.fr/grille-indiciaire-etat-cadre-educatif-protection-judiciaire-jeunesse-pjj/1/6705.htm","7","657","548","2 ans","2 567,94 €","A","null","null"
"1651682559-12298","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Architecte et urbaniste de l'Etat","https://www.emploi-collectivites.fr/grille-indiciaire-etat-architecte-urbaniste/1/5055.htm","6","713","591","2 ans","2 769,44 €","A","null","null"
"1651682464-11612","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Chef de travaux d’art","https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-travaux-art/1/5218.htm","3","693","575","2 ans","2 694,46 €","A","null","null"
"1651680813-2637","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur des services de la protection judiciaire de la jeunesse","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-services-protection-judiciaire-jeunesse/1/5681.htm","3","896","730","2 ans","3 420,80 €","A","null","null"
"1651682271-10502","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Officier du corps technique et administratif de la marine","https://www.emploi-collectivites.fr/grille-indiciaire-etat-officier-corps-technique-administratif-marine/1/6365.htm","","HEA2","-","1 an","4 334,57 €","A","null","null"
"1651682276-10610","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Officier de l'air","https://www.emploi-collectivites.fr/grille-indiciaire-etat-officier-air/1/6089.htm","3","871","711","4 ans","3 331,76 €","A","null","null"
"1651680765-1927","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Maître des requêtes du Conseil d'Etat -CE","https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-requetes-conseil/1/5663.htm","8","HEBbis","-","8 mois","4 999,99 €","A","null","null"
"1651682459-11577","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Conservateur du patrimoine","https://www.emploi-collectivites.fr/grille-indiciaire-etat-conservateur-patrimoine/1/5201.htm","3","HEA","-","1 an","4 170,56 €","A","null","null"
"1651681021-4695","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Délégué au permis de conduire et à la sécurité routière-DPCS","https://www.emploi-collectivites.fr/grille-indiciaire-etat-delegue-permis-conduire-securite-routiere-dpcs/1/5805.htm","7","653","545","3 ans","2 553,88 €","A","null","null"
"1651680557-582","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur régional du travail et des transports-DRTT- (Emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-regional-travail-transports-drtt-emploi-fonctionnel/1/5710.htm","","HEA2","-","1 an","4 334,57 €","A","null","null"
