web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
1651682511-11927,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,5,444,390,2 ans,"1 827,55 €",,B,
1651682562-12335,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,2,600,505,1 an,"2 366,44 €",A,,
1651680771-2044,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEBbis,-,1 an,"4 999,99 €",A,,
1651682511-11919,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,8,638,534,3 ans,"2 502,34 €",,B,
1651680842-2992,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Chef de service éducatif de la protection judiciaire de la jeunesse,https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-service-educatif-protection-judiciaire-jeunesse/1/5683.htm,2,572,483,2 ans,"2 263,35 €",A,,
1651682562-12338,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,5,762,628,1 an 6 mois,"2 942,82 €",A,,
1651680830-2829,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Coordonnateur de formation de l'Ecole nationale de la magistrature (ENM),https://www.emploi-collectivites.fr/grille-indiciaire-etat-coordonnateur-formation-ecole-nationale-magistrature-enm/1/6246.htm,,HEB2,-,1 an,"4 746,94 €",A,,
1651682511-11945,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,10,513,441,3 ans,"2 066,54 €",,B,
1651682562-12339,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,6,813,667,2 ans,"3 125,58 €",A,,
1651680830-2833,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Coordonnateur de formation de l'Ecole nationale de la magistrature (ENM),https://www.emploi-collectivites.fr/grille-indiciaire-etat-coordonnateur-formation-ecole-nationale-magistrature-enm/1/6246.htm,,HEC3,-,-,"5 496,71 €",A,,
